NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
"2,3,4,9-TETRAHYDRO-9-METHYL-1H-CARBAZOLE",C13H15N,6303-88-4,854,2709,599.6,0.5115
2-CHLOROPHENYLISOCYANATE,C7H4ClNO,3320-83-0,680.9,4064.29,334,0.5596
TRANS-PERFLUOROBICYCLO[4.3.0]NONANE,C9F16,75240-06-1,526,1680,646,0.5311
CIS-PERFLUOROBICYCLO[4.3.0]NONANE,C9F16,75262-87-2,530,1710,638,0.4647
PHENOXATHIIN,C12H8OS,262-20-4,863,3105,560.7,0.4539
"1,4-BIS(1,1-DIMETHYLETHYL)BENZENE",C14H22,1012-72-2,708,2300,723.3,0.5019
"1,4-BUTANEDIISOCYANATE",C6H8N2O2,4538-37-8,706.7,3600.16,401,0.5983
"1,8-OCTANEDIISOCYANATE",C10H16N2O2,10124-86-4,745.1,2371.02,711,0.786
"1,3-DIMETHYL ADAMANTANE",C12H20,702-79-4,708,3000,575,0.2958
ETHYL OCTYL SULFIDE,C10H22S,3698-94-0,700,2400,697.4,0.5298
CIS-5-ETHYLIDENE-2-NORBORNENE,C9H12,28304-66-7,629,3400,294,0.3118
METHYL-5-FORMYL VALERATE,C7H12O3,6654-36-0,670,3100,451,0.6916
"2,5-DIHYDROBENZO-3,4-FURAN",C8H8O,496-14-0,700,4285,360.5,0.3664
"1,1,1,2,2,3,3-HEPTAFLUORO-3-METHOXYPROPANE",C4H3F7O,0375-03-01,437.7,2481,377.5,0.424
"1,1,2,2,3-PENTAFLUOROPROPANE [R245CA]",C3H3F5,679-86-7,447.57,3925.026,256,0.3577
"1,1,1,2,2,3,3,4-OCTAFLUOROBUTANE",C4H2F8,662-35-1,431.95,2725,343.5,0.4014
DICYCLOHEXYL SULFIDE,C12H22S,7133-46-2,770,2370,694.3,0.515
2-PHENOXYMETHYLOXIRANE,C9H10O2,122-60-1,720,2950,324,0.5939
