NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
CYCLOPENTENE,C5H8,142-29-0,507,4801.792,245,0.194
1-METHYLCYCLOHEXENE,C7H12,591-49-1,584.2,3566.64,353.6,0.2576
O-CHLOROANILINE,C6H6ClN,95-51-2,730,4600.155,337,0.373
M-CHLOROANILINE,C6H6ClN,108-42-9,753,5005.455,337,0.4071
P-CHLOROANILINE,C6H6ClN,106-47-8,756,4448.168,337,0.417
2-NITROANILINE,C6H6N2O2,88-74-4,800,5501.947,370,0.708
3-NITROANILINE,C6H6N2O2,1999-09-02,840,5005.455,370,0.63
4-NITROANILINE,C6H6N2O2,0100-01-06,870,5501.947,370,0.764
METHYL TERT-AMYL ETHER,C6H14O,0994-05-08,534,3113.717,377,0.3103
TRANS-2-OCTENE,C8H16,13389-42-9,580,2766.172,460,0.35
DEUTERIUM OXIDE,D2O,7789-20-0,644,21663.29,55.6,0.388
HEXYL ACETATE,C8H16O2,142-92-7,618.4,2381.138,523.9,0.5042
INDANE,C9H10,0496-11-07,684.9,3789.555,383.5,0.2913
"1,3-DIMETHYL NAPHTHALENE",C12H12,575-41-7,781.2,3313.328,534,0.4126
"1,4-DIMETHYL NAPHTHALENE",C12H12,571-58-4,790.2,3363.99,534,0.3933
1-PENTADECANOL,C15H32O,629-76-5,757,1599.922,882,0.8072
"2,2'-DIETHANOLAMINE",C4H11NO2,111-42-2,715,3269.758,333,1.0463
METHYL PENTANOATE,C6H12O2,624-24-8,579,3090.413,396,0.3481
ETHYL VALERATE,C7H14O2,539-82-2,593.3,2654.715,451,0.3552
BUTYL VALERATE,C9H18O2,591-68-4,636,2087.295,561,0.4786
ISOPROPYL BUTYRATE,C7H14O2,0638-11-09,579,2614.185,443,0.325
ALLYLCYANIDE,C4H5N,109-75-1,585,3951.675,265,0.3596
TRIFLUOROBROMOMETHANE [R13B1],CBrF3,75-63-8,340.2,3971.94,200,0.1687
"1,1-DIFLUOROETHANE [R152A]",C2H4F2,75-37-6,386.35,4515.7,181,0.2586
ETHANETHIOL,C2H6S,1975-08-01,499,5491.815,207,0.186
SEC-BUTYLAMINE,C4H11N,13952-84-6,511,3969.995,282,0.2998
SEC-BUTYL CHLORIDE,C4H9Cl,78-86-4,520.6,3951.665,305,0.3
SEC-BUTYLCYCLOHEXANE,C10H20,7058-01-07,669,2674.98,522,0.264
"1,2-HEPTENOXIDE",C7H14O,5063-65-0,610,2705.378,417,0.3282
ANTHRACENE,C14H10,0120-12-07,873.1,3404.52,554,0.5159
PHENANTHRENE,C14H10,1985-01-08,873.1,3171.472,554,0.4734
2-OCTANOL,C8H18O,123-96-6,637,2735.775,494,0.52
CIS-2-PENTENE,C5H10,627-20-3,476,3597.038,292,0.233
"2,4-DIMETHYLANILINE",C8H11N,95-68-1,714,4002.338,402,0.4972
TRIBUTYLAMINE,C12H27N,102-82-9,643,1823.85,731,0.5884
1-PROPYL NAPHTHALENE,C13H14,2765-18-6,781.15,2923.226,566.9,0.456
HEXYLBENZENE,C12H18,1077-16-3,695.4,2554.403,582.6,0.529
BUTANENITRILE,C4H7N,109-74-0,585.4,3819.953,285,0.3325
"1-CHLORO-1,2,2,2-TETRAFLUOROETHANE [R124]",C2HClF4,2837-89-0,395.65,3718.628,245.7,0.3003
ETHYLENIMINE,C2H5N,151-56-4,528,7700.7,150,0.3139
"CIS-1,3-PENTADIENE",C5H8,1574-41-0,488,3989.996,275,0.2552
ISOBUTYL FORMATE,C5H10O2,542-55-2,549,3556.507,352,0.3725
2-OCTANONE,C8H16O,111-13-7,629,2624.318,497,0.479
2-METHYL-1-PENTANOL,C6H14O,105-30-6,582,3400.467,380,0.7262
TRIPROPYLAMINE,C9H21N,102-69-2,600,2229.15,566,0.452
PENTYLBENZENE,C11H16,538-68-1,679.9,2604.053,550,0.4274
VINYL PROPIONATE,C5H8O2,105-38-4,546,3680.124,323,0.3691
TETRAHYDROTHIOPHENE,C4H8S,110-01-0,632,5167.575,264.8,0.1988
TRIETHANOLAMINE,C6H15NO3,102-71-6,787,2450.039,446,1.1008
BENZO(B)THIOPHENE,C8H6S,95-15-8,752.1,3880.747,375.8,0.2927
O-ANISIDINE,C7H9NO,90-04-0,728,5846.453,367,0.5558
TERT-BUTYL BROMIDE,C4H9Br,507-19-7,540.5,4793.686,310,0.2454
4-ALLYL-2-METHOXYPHENOL,C10H12O2,97-53-0,778.7,4105,500,0.4526
2-ETHYLPYRIDINE,C7H9N,100-71-0,634,4103.663,372,0.3512
TETRAFLUOROMETHANE [R14],CF4,75-73-0,227.5,3738.893,140,0.176
CIS-2-HEXENE,C6H12,7688-21-3,512,3201.87,351,0.288
SQUALANE,C30H62,0111-01-03,795.9,509.665,1645,1.2135
BENZYLCYANIDE,C8H7N,140-29-4,745,4002.338,397,0.4131
TRANS-2-HEXENE,C6H12,4050-45-7,508,3120.81,351,0.299
TRANS-3-HEXENE,C6H12,13269-52-8,510,3282.93,351,0.292
1-NITROBUTANE,C4H9NO2,0627-05-04,625,3800.002,338,0.4004
CARBON DIOXIDE,CO2,124-38-9,304.2,7376.46,94,0.2252
METHANE,CH4,74-82-8,190.6,4600.155,99,0.008
OXYGEN,O2,7782-44-7,154.6,5045.985,73.4,0.021
ETHYLENE,C2H4,74-85-1,282.35,5041.628,129,0.085
ETHANE,C2H6,74-84-0,305.4,4883.865,148,0.098
PROPYLENE,C3H6,0115-07-01,365,4620.42,181,0.148
NITROGEN,N2,7727-37-9,126.2,3394.388,89.5,0.04
CARBON MONOXIDE,CO,630-08-0,132.9,3475.447,93.1,0.049
ARGON,Ar,7440-37-1,150.8,4873.732,74.9,-0.004
CHLORINE,Cl2,7782-50-5,417,7700.7,124,0.073
KRYPTON,Kr,7439-90-9,209.4,5501.947,91.2,-0.002
DINITROGEN MONOXIDE,N2O,10024-97-2,309.6,7244.738,97.4,0.1733
XENON,Xe,7440-63-3,289.7,5836.32,118,0.002
HYDROGEN,H2,1333-74-0,33.2,1296.96,65,-0.22
ETHYNE,C2H2,74-86-2,308.3,6140.295,113,0.184
HYDROGEN SULFIDE,H2S,7783-06-04,372.8,8936.865,98.5,0.1
"1,1,1-TRIFLUOROETHANE [R143A]",C2H3F3,420-46-2,346.25,3759.157,194,0.2619
FLUOROFORM [R23],CHF3,75-46-7,299.05,4752.143,133,0.2528
BENZYL BENZOATE,C14H12O2,120-51-4,825,2533.125,694,0.547
"2,2,2-TRIFLUOROETHANOL",C2H3F3O,75-89-8,499.29,4839.991,205.4,0.6307
3-HEPTANONE,C7H14O,106-35-4,602,2920.186,430,0.4346
CIS-3-HEXENE,C6H12,7642-09-03,517,3282.93,350,0.225
"2,2-DIMETHYLPENTANE",C7H16,590-35-2,520.5,2770.226,416,0.289
"1,1-DICHLOROETHYLENE",C2H2Cl2,75-35-4,489,4679.999,219,0.1705
4-METHYL-HEPTANE,C8H18,589-53-7,561.7,2540.218,476,0.369
1-CHLORODODECANE,C12H25Cl,112-52-7,714.9,1852.221,746,0.621
"3,5-DIMETHYLPYRIDINE",C7H9N,591-22-0,667.3,3951.675,355,0.349
"TRANS-1,4-DIMETHYLCYCLOHEXANE",C8H16,2207-04-07,587.7,2938.425,450,0.2502
DI-TERT-BUTYL ETHER,C8H18O,6163-66-2,550,2459.999,494.9,0.3327
DIISOPENTYL ETHER,C10H22O,0544-01-04,614,2148.09,595,0.523
4-DIMETHYLAMINOTOLUENE,C9H13N,99-97-8,695,3749.025,457,0.529
2-DIMETHYLAMINOTOLUENE,C9H13N,609-72-3,667,3121,457,0.395
BICYCLOHEXYL,C12H22,92-51-3,731.4,2614.185,577,0.3979
"2,2,4,4,6,8,8-HEPTAMETHYLNONANE",C16H34,4390-04-09,692,1469.213,880,0.5256
"1,3,5-TRIFLUOROBENZENE",C6H3F3,372-38-3,530.9,3953.702,304,0.3056
"1,2-DIFLUOROBENZENE",C6H4F2,0367-11-03,565.5,4580.903,290,0.2945
"1,3-DIFLUOROBENZENE",C6H4F2,372-18-9,543.1,4308.339,296.7,0.3161
"1,4-DIFLUOROBENZENE",C6H4F2,540-36-3,557.75,4397.505,296.7,0.2843
"1,2,3,4-TETRAFLUOROBENZENE",C6H2F4,551-62-2,550.75,3790.568,315.2,0.339
"1,2,3,5-TETRAFLUOROBENZENE",C6H2F4,2367-82-0,535.15,3746.999,310,0.3417
"1,2,4,5-TETRAFLUOROBENZENE",C6H2F4,327-54-8,543.35,3800.701,310,0.355
PENTAFLUOROBENZENE,C6HF5,363-72-4,531,3531.176,319.3,0.373
"1,3-CYCLOHEXADIENE",C6H8,592-57-4,559,4450.194,277,0.2
BROMOPENTAFLUOROBENZENE,C6BrF5,0344-04-07,601,3039.75,415,0.355
OCTADECANE,C18H38,593-45-3,747.7,1292,1189,0.8087
CHLOROPENTAFLUOROBENZENE,C6ClF5,344-07-0,570.81,3238.347,384.8,0.4
"1,4-DICHLOROBUTANE",C4H8Cl2,110-56-5,646.7,3694.309,350,0.3064
"1,5-DICHLOROPENTANE",C5H10Cl2,628-76-2,673.6,3267.731,406,0.3546
"1,6-DICHLOROHEXANE",C6H12Cl2,2163-00-0,692.5,2930.319,461,0.4227
2-METHOXY TOLUENE,C8H10O,578-58-5,662,1291.894,392,0.1965
"1,3-BUTANEDIOL",C4H10O2,107-88-0,676,4020,306.4,0.7206
VALERONITRILE,C5H9N,110-59-8,603,3259.625,331,0.4152
1-OCTANAMINE,C8H19N,111-86-4,641,2617,517,0.4509
DIMETHYL SULFIDE,C2H6S,75-18-3,503,5532.345,203.7,0.19
N-TRIDECANOL,C13H28O,112-70-9,732,1790.413,771,0.6942
"2,6-DIMETHYLOCTANE",C10H22,2051-30-1,603.1,2149.995,576,0.4442
DIFLUOROMETHANE [R32],CH2F2,1975-10-05,351.55,5830.241,121,0.271
BROMOCHLOROMETHANE [R30B1],CH2BrCl,74-97-5,558,6180.825,207,0.193
2-PYRROLIDONE,C4H7NO,616-45-5,799,6342.935,250,0.4434
"2,4-TOLUENE DIISOCYANATE",C9H6N2O2,584-84-9,745.2,3538.83,419,0.5441
P-METHYLANILINE,C7H9N,106-49-0,667.15,2305,351,0.4426
4-TERT-BUTYLPHENOL,C10H14O,98-54-4,730,3300.155,480,0.5335
9H-FLUORENE,C13H10,86-73-7,822.32,2989.088,550,0.4196
DIPHENYLENIMINE,C12H9N,86-74-8,900.05,3240.373,525,0.4876
FLUORANTHENE,C16H10,206-44-0,916.11,2573.655,655,0.516
TRICHLOROFLUOROMETHANE [R11],CCl3F,75-69-4,471.15,4407.638,248,0.188
"3,4-DIMETHYLHEXANE",C8H18,583-48-2,568.8,2690.179,466,0.338
"2,5-DIMETHYLPHENOL",C8H10O,95-87-4,706.9,4863.6,350,0.5474
"3,4-DIMETHYLPHENOL",C8H10O,95-65-8,729.8,4964.925,350,0.5602
M-DICHLOROBENZENE,C6H4Cl2,541-73-1,684,3850.35,359,0.2728
TETRAETHOXYSILANE,C8H20O4Si,1978-10-04,592.2,2044.7,657,0.6248
P-TERPHENYL,C18H14,92-94-4,908,2990,728.8,0.6532
ISOBUTYLBENZENE,C10H14,538-93-2,650,3049.883,489.8,0.3694
2-BUTYNE,C4H6,503-17-3,488.6,4900,221,0.1078
HEXAFLUOROETHANE [R116],C2F6,76-16-4,293.04,3041.777,221.9,0.229
PENTAFLUOROETHANE [R125],C2HF5,354-33-6,339.45,3595.011,210,0.3003
BENZOYLCHLORIDE,C7H5ClO,98-88-4,697,4060.093,367,0.4205
BROMODIFLUOROMETHANE [R22B1],CHBrF2,1511-62-2,411.98,5132.01,167,0.2051
BROMOCHLORODIFLUOROMETHANE [R12B1],CBrClF2,353-59-3,426.9,4245.518,230,0.184
TRIACONTANE,C30H62,638-68-6,857,636,1693,1.26
2-METHYLHEPTANE,C8H18,592-27-8,559.7,2499.688,488,0.378
"3,3-DIMETHYLPENTANE",C7H16,562-49-2,536.4,2949.571,414,0.27
OCTACOSANE,C28H58,0630-02-04,845.4,727.513,1583,1.195
ISOBUTYRONITRILE,C4H7N,78-82-0,565,3760.171,278,0.3384
OCTADECANOIC ACID ETHYL ESTER,C20H40O2,111-61-5,781.54,1198.1,1167,0.9408
1-AMINOPENTANE,C5H13N,110-58-7,555,3576.772,346,0.407
DIBUTYLSULFIDE,C8H18S,544-40-1,650,2499.688,536,0.4277
DIMETHYL DISULFIDE,C2H6S2,624-92-0,615,4799.998,260,0.1869
DIETHYL DISULFIDE,C4H10S2,110-81-6,642,3499.999,370,0.3086
N-ETHYLANILINE,C8H11N,103-69-5,698.3,4002.338,402,0.471
ALPHA-AMINOTOLUENE,C7H9N,100-46-9,686,4802.805,347,0.435
"1,2-DIETHOXYETHANE",C6H14O2,629-14-1,542,3220,411,0.65
TETRACOSANE,C24H50,646-31-1,802.62,896.726,1362,1.0411
HEXATRIACONTANE,C36H74,0630-06-08,901,682,2025,1.5125
DOTRIACONTANE,C32H66,544-85-4,851.44,597.818,1800,1.3585
"2,2-DIMETHYLHEXANE",C8H18,590-73-8,549.8,2530.085,478,0.338
"2,2,4-TRIMETHYLHEXANE",C9H20,16747-26-5,573.7,2371.005,526,0.3471
"2,5-DIMETHYLHEXANE",C8H18,592-13-2,550,2489.555,482,0.352
TETRAETHYLENE GLYCOL,C8H18O5,112-60-7,800,3199.843,571,0.8143
"2-ETHYL-2-HYDROXYMETHYL-1,3-PROPANEDIOL",C6H14O3,77-99-6,709,3909.929,416,1.2871
HELIUM,He,7440-59-7,5.3,232.034,57.8,-0.387
NEON,Ne,7440-01-09,44.4,2756.04,41.7,-0.0414
SULFUR HEXAFLUORIDE,F6S,2551-62-4,318.7,3760.171,198.8,0.1499
SULFUR DIOXIDE,O2S,7446-09-05,430.8,7883.085,122,0.251
ETHYL VINYL ETHER,C4H8O,109-92-2,475.37,4075,260,0.2868
2-NONANONE,C9H18O,821-55-6,651.9,2482,254,0.5072
HENEICOSANE,C21H44,629-94-7,778,1030,1200,0.9049
PYRROLE,C4H5N,109-97-7,625.15,5490,214,0.3255
"1,1-DIMETHYLCYCLOPENTANE",C7H14,1638-26-2,547,3445.05,360,0.273
CAPRYLONITRILE,C8H15N,0124-12-09,674.4,2850,506,0.4892
BUTYL VINYL ETHER,C6H12O,111-34-2,540.5,3200,380.6,0.342
HYDROGEN IODIDE,HI,10034-85-2,423.15,8298.518,131,0.05
IODOBENZENE,C6H5I,591-50-4,721,4519.095,351,0.246
"2,3-DIMETHYLHEXANE",C8H18,584-94-1,563.5,2630.397,468,0.346
PERFLUOROPROPANE [R218],C3F8,76-19-7,345.05,2680.046,299,0.3257
DEUTERIUM,D2,7782-39-0,38.4,1659.997,60.3,-0.13
TETRAFLUOROETHYLENE,C2F4,116-14-3,306.5,3940.002,172,0.223
P-METHYLPROPYLBENZENE,C10H14,1074-55-1,660.7,2845.206,482,0.3856
NITROSYLCHLORIDE,ClNO,2696-92-6,440,9119.25,139,0.318
CHLOROTRIFLUOROETHYLENE,C2ClF3,79-38-9,379,4053,212,0.2464
NITROGEN OXIDE,NO,10102-43-9,180,6479.997,58,0.588
PERFLUORO-2-PROPANONE,C3F6O,684-16-2,357.14,2837.1,328.8,0.365
CARBONYL SULFIDE,COS,463-58-1,378.3,6302.415,135.1,0.099
SEC-BUTYL ACETATE,C6H12O2,105-46-4,560,3124.863,388,0.403
ACETIC ACID PHENYL ESTER,C8H8O2,122-79-2,685.7,3590,397,0.4335
ETHYL CHLOROACETATE,C4H7ClO2,105-39-5,618,3899.999,330,0.4
4-FLUOROTOLUENE,C7H7F,352-32-9,589.9,3949.649,331,0.3103
"1,2-ETHANEDIOL-MONOACETATE-MONOETHYL ETHER",C6H12O3,111-15-9,607.3,3161.34,443.5,0.5443
2-N-MONOMETHYLAMINOETHANOL,C3H9NO,109-83-1,630,5300,255.4,0.6022
1-TETRADECENE,C14H28,1120-36-1,689,1560.405,791,0.644
ETHYL TERT-BUTYL ETHER,C6H14O,637-92-3,509.4,2933.931,394,0.3194
FLUOROETHANE [R161],C2H5F,353-36-6,375.3,5025.72,169,0.2153
"1-CHLORO-1,1-DIFLUOROETHANE [R142B]",C2H3ClF2,75-68-3,410.35,4048,228,0.2316
METHYLHYDRAZINE,CH6N2,60-34-4,567,8039.997,271,0.3901
DINITROGEN TETROXIDE,N2O4,10544-72-6,431,10132.5,167,0.8539
NITROGEN TRIFLUORIDE,F3N,7783-54-2,234,4529.228,124,0.1021
PROPYL SILICATE,C12H28O4Si,0682-01-09,647.7,1696.2,867,0.7546
METHYL FLUORIDE [R41],CH3F,593-53-3,317.8,5876.85,110,0.1774
METHYL BROMIDE [R40B1],CH3Br,74-83-9,467,8265.79,156,0.1642
P-METHYL-STYRENE,C9H10,622-97-9,669,3303.195,402,0.283
1-ETHYL-2-METHYLBENZENE,C9H12,611-14-3,651.5,3140,439.9,0.3197
1-ETHYL-3-METHYLBENZENE,C9H12,620-14-4,645.1,3248.48,490,0.3319
1-ETHYL-4-METHYLBENZENE,C9H12,622-96-8,638.7,3230,439.9,0.3731
"1,2,3,4-TETRAMETHYLBENZENE",C10H14,488-23-3,700.5,3273.811,435.7,0.3879
"1,2,3,5-TETRAMETHYL BENZENE",C10H14,527-53-7,679,2841.153,436.2,0.4051
2-ETHYL M-XYLENE,C10H14,2870-04-04,665.1,2929.306,446.2,0.4359
2-ETHYL P-XYLENE,C10H14,1758-88-9,662.6,2899.922,460.8,0.4175
4-ETHYL O-XYLENE,C10H14,934-80-5,662.6,2899.922,452.1,0.4472
4-ETHYL M-XYLENE,C10H14,874-41-9,662.6,2899.922,482,0.4331
5-ETHYL M-XYLENE,C10H14,934-74-7,649.1,2800.623,458,0.4692
"1,3-DIETHYLBENZENE",C10H14,141-93-5,657.1,2919.173,467.7,0.3927
"1,4-DIETHYLBENZENE",C10H14,0105-05-05,657.88,2802.649,478.2,0.409
O-ISOPROPYL-TOLUENE,C10H14,527-84-4,657.3,2904.988,490.2,0.369
M-ISOPROPYL-TOLUENE,C10H14,535-77-3,651.4,2846.219,490.2,0.3628
O-PROPYLTOLUENE,C10H14,1074-17-5,662.1,2887.763,489.8,0.399
2-PROPYL P-XYLENE,C11H16,3042-50-0,679.7,2654.715,551.1,0.4295
"2,5-DIMETHYL CUMENE",C11H16,4132-72-3,668.8,2629.384,551.1,0.4297
"1,2-DIMETHYL NAPHTHALENE",C12H12,573-98-8,790.24,3361.964,469.2,0.3951
"1,5-DIMETHYL NAPHTHALENE",C12H12,571-61-9,781.3,3219.095,473.4,0.4261
"1,6-DIMETHYL NAPHTHALENE",C12H12,575-43-9,778.2,3222.135,472.6,0.412
"1,7-DIMETHYL NAPHTHALENE",C12H12,575-37-1,778.2,3222.135,472.6,0.4327
"2,3-DIMETHYL NAPHTHALENE",C12H12,581-40-8,785.2,3217.069,513.9,0.4137
"2,6-DIMETHYL NAPHTHALENE",C12H12,581-42-0,777.2,3222.135,507.7,0.3818
"2,7-DIMETHYL NAPHTHALENE",C12H12,582-16-1,778.2,3222.135,507.7,0.4069
2-ETHYL NAPHTHALENE,C12H12,939-27-5,771.8,3171.472,516,0.4114
3-METHYL CYCLOPENTENE,C6H10,1120-62-3,523.2,3828.058,306.8,0.227
"TRANS-1,3-DIMETHYL CYCLOHEXANE",C8H16,2207-03-06,598,2938.425,460,0.2118
"CIS-1,3-DIMETHYL CYCLOHEXANE",C8H16,638-04-0,591,2938.425,460,0.2828
"CIS-1,4-DIMETHYL CYCLOHEXANE",C8H16,624-29-3,598,2938.425,460,0.2338
N-PROPYL CYCLOHEXANE,C9H18,1678-92-8,639,2546.297,481.3,0.2585
2-METHYL TETRALIN,C11H14,3877-19-8,715.2,2968.822,500,0.39
6-METHYL TETRALIN,C11H14,1680-51-9,733.2,3116.757,483.1,0.3769
"2,3-DIMETHYLPYRIDINE",C7H9N,583-61-9,655.4,4109.742,359,0.3408
"2,5-DIMETHYLPYRIDINE",C7H9N,589-93-5,644.2,3874.668,359,0.3501
3-ETHYLPYRIDINE,C7H9N,536-78-7,661,4000.108,368,0.3367
4-ETHYLPYRIDINE,C7H9N,536-75-4,663,4099.609,368,0.3392
M-TOLUONITRILE,C8H7N,620-22-4,710,3749.025,400,0.4244
P-TOLUONITRILE,C8H7N,104-85-8,723,3546.375,400,0.3939
4-ETHYL ANILINE,C8H11N,589-16-2,715,3850.35,402,0.479
"9,10-DIHYDROPHENANTHRENE",C14H12,776-35-2,774,1314.185,660,0.5475
3-METHYL-ISOQUINOLINE,C10H9N,1125-80-0,808,5099.687,500,0.351
"2,4-DIMETHYL QUINOLINE",C11H11N,1198-37-4,807,3899.999,552,0.3909
"2,3-DIHYDRO-4H-PYRAN",C5H8O,110-87-2,561.7,4559.625,268,0.2392
4-ETHYLPHENOL,C8H10O,0123-07-09,716.4,4053,400,0.4892
2-ETHYLPHENOL,C8H10O,90-00-6,703,4296.18,381,0.4793
P-PHENYLPHENOL,C12H10O,92-69-3,825,3495.713,500,0.5695
THIACYCLOBUTANE,C3H6S,287-27-4,603.15,6099.765,204,0.182
2-METHYL THIOPHENE,C5H6S,554-14-3,606.2,4673.109,279.4,0.2381
3-METHYL THIOPHENE,C5H6S,616-44-4,610.8,4787.606,274.8,0.243
TETRAHYDROTHIOPYRAN,C5H10S,1613-51-0,654,4549.493,293,0.219
2-METHYL-THIACYCLOPENTANE,C5H10S,1795-09-01,631.2,4300.233,306,0.245
3-METHYL-THIACYCLOPENTANE,C5H10S,4740-00-5,641.2,4375.214,306,0.246
CYCLOPENTANE-THIOL,C5H10S,1679-07-08,629,4274.902,320,0.253
BENZENETHIOL,C6H6S,108-98-5,685,4600.155,317,0.284
"2,3-DIMETHYL THIOPHENE",C6H8S,632-16-6,635.2,3879.734,332,0.2679
"2,4-DIMETHYL THIOPHENE",C6H8S,638-00-6,631.2,4014.496,332,0.2955
"2,5-DIMETHYL THIOPHENE",C6H8S,0638-02-08,625.2,3890.373,332,0.2811
"3,4-DIMETHYL THIOPHENE",C6H8S,632-15-5,640.2,3907.7,332,0.2674
3-METHYL-THIACYCLOHEXANE,C6H12S,5258-50-4,664,3874.668,350,0.249
2-METHYL-THIACYCLOHEXANE,C6H12S,5161-16-0,656,3825.019,350,0.245
4-METHYL THIACYCLOHEXANE,C6H12S,5161-17-1,665,3849.944,350,0.245
CYCLOHEXANETHIOL,C6H12S,1569-69-3,664.2,3849.337,401,0.252
"1,2-DIISOPROPYLBENZENE",C12H18,577-55-9,668.95,2445.985,582.9,0.4743
"1,3-DIISOPROPYLBENZENE",C12H18,99-62-7,664.35,2348.714,582.9,0.4858
2-N-PROPYLNAPHTHALENE,C13H14,2027-19-2,780.05,2849.259,563.5,0.4943
2-N-BUTYLNAPHTHALENE,C14H16,1134-62-9,793.35,2541.231,610,0.4656
PYRENE,C16H10,129-00-0,938.2,2604.053,626,0.4862
O-TERPHENYL,C18H14,84-15-1,857,2990,731.1,0.5459
"1,1-DIMETHYLCYCLOHEXANE",C8H16,590-66-9,591,2938.425,450,0.238
"TRANS-1,2-DIMETHYLCYCLOHEXANE",C8H16,6876-23-9,596,2938.425,460,0.2296
THIANTHRENE,C12H8S2,92-85-3,920,3420,584.1,0.4602
"4,7-DIMETHYL INDAN",C11H14,6682-71-9,722.3,4742,514,0.502
PYRAZINE,C4H4N2,290-37-9,622,5799.843,250,0.2392
2-METHYL PYRAZINE,C5H6N2,109-08-0,634.4,5005.455,318.7,0.2749
"2,5-DIMETHYL PYRROLE",C6H9N,625-84-3,661,5099.687,323,0.446
O-TOLUNITRILE,C8H7N,529-19-1,709,3951.675,400,0.4092
INDOLE,C8H7N,120-72-9,790.7,4275.915,369,0.3464
"2,6-DIMETHYLANILINE",C8H11N,87-62-7,722,4199.921,402,0.4273
8-METHYLQUINOLINE,C10H9N,611-32-5,791,5000.389,470,0.3855
ACRIDINE,C13H9N,260-94-6,905.15,3600.077,543.1,0.4133
"1,4-DIHYDROXYBENZENE",C6H6O2,123-31-9,820,6749.967,292,0.6598
3-ETHYLPHENOL,C8H10O,620-17-7,718.8,4154.325,389,0.5105
"1,2,3-TRIHYDROXYBENZENE",C6H6O3,87-66-1,840,6251.753,307,0.6095
2-PROPYLPHENOL,C9H12O,644-35-9,705,3850.35,442,0.5982
DIBENZOFURAN,C12H8O,132-64-9,809.59,3201.87,493.4,0.4336
3-ETHYLTHIOPHENE,C6H8S,1795-01-03,629,4154.325,332,0.2815
1-CYCLOPENTYL-1-THIAETHANE,C6H12S,7133-36-0,652,3749.025,375,0.2885
1-PHENYL-1-THIAETHANE,C7H8S,100-68-5,706,4070.225,372,0.3351
3-METHYL-5-ETHYL-PHENOL,C9H12O,698-71-5,725,3566.64,442,0.5613
"2,3,5-TRIMETHYLPHENOL",C9H12O,697-82-5,730,3850.35,442,0.5475
"1,2-DIHYDROXYNAPHTHALENE",C10H8O2,574-00-5,718.59,3505.845,450,0.3
"1,3,5-TRIETHYLBENZENE",C12H18,102-25-0,679,2435,616.6,0.5238
DIBENZOTHIOPHENE,C12H8S,132-65-0,897,3860,515.9,0.3863
ACENAPHTHYLENE,C12H8,208-96-8,796.87,3221.922,475.6,0.3609
"2,3,3-TRIMETHYL-1-BUTENE",C7H14,594-56-9,533,2897.895,400,0.192
"1,1,1,2,2-PENTAFLUOROPROPANE",C3H3F5,1814-88-6,380.12,3137.002,273.2,0.3016
CYCLOPROPANE,C3H6,75-19-4,398,5540.451,162,0.1261
N-HEXANOIC ACID NITRILE,C6H11N,628-73-9,622.05,2920.186,384,0.4743
CARBONIC ACID DIETHYL ESTER,C5H10O3,105-58-8,576.33,3367.4,360,0.4561
ETHYLENE CARBONATE,C3H4O3,96-49-1,794.82,6141.84,195,0.406
DIMETHYLSUCCINATE,C6H10O4,106-65-0,665.73,3092.783,420,0.5386
DI-N-OCTYL THIOETHER,C16H34S,2690-08-06,780,1800,1112,0.8067
CYCLOBUTANE,C4H8,287-23-0,458,5045.985,218,0.2061
DIGLYCOLAMINE,C4H11NO2,0929-06-06,727,6220,325,0.6432
1-PHENYLDECANE,C16H26,104-72-3,753,1779.997,850,0.6646
1-PHENYLDODECANE,C18H30,0123-01-03,779.1,1570.538,980,0.7278
1-PHENYLTETRADECANE,C20H34,1459-10-05,792,1419.999,1110,0.8171
1-PHENYLPENTADECANE,C21H36,2131-18-2,800,1350.004,1140,0.4254
DIBENZYLAMINE,C14H15N,103-49-1,835,4053,624,0.485
2-HEPTANOL,C7H16O,543-49-7,608.3,3021.005,441.8,0.5784
"2,2,3,3-TETRAMETHYLBUTANE",C8H18,594-82-1,567.8,2867.497,461,0.2469
1-CHLOROHEXANE,C6H13Cl,0544-10-05,594.4,3052.922,416,0.3738
PERFLUORONONANE,C9F20,375-96-2,523.95,1560,800,0.5193
3-ETHYLPENTANE,C7H16,617-78-7,540.6,2889.789,416,0.31
N-BUTYLCYCLOHEXANE,C10H20,1678-93-9,667,3151.208,530,0.3524
2-ETHYLTHIOPHENE,C6H8S,872-55-9,626,4002.338,332,0.2653
N-BUTYLMERCAPTAN,C4H10S,109-79-5,570.1,4002.338,324.4,0.2734
ISO-BUTYLMERCAPTAN,C4H10S,513-44-0,557,3899.999,307,0.2485
SEC-BUTYLMERCAPTAN,C4H10S,513-53-1,551,3849.995,307,0.2479
1-BUTYNE,C4H6,107-00-6,440,4600,208,0.2485
"1,2-BUTADIENE",C4H6,590-19-2,443.7,4498.83,219,0.255
PROPYNE,C3H4,74-99-7,402.4,5623.538,164,0.218
"1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE [R112]",C2Cl4F2,76-12-0,551,3445.05,358,0.273
TRANS-2-PENTENE,C5H10,0646-04-08,475,3657.832,300,0.2409
"2,2,3,3,3-PENTAFLUOROPROPANOL",C3H3F5O,0422-05-09,536.7,5230,287,0.4281
